Ticker;Type;Nb_Lignes;Date_Min;Date_Max;Dernier_Cours
PG;Action;16182;1962-01-02;2026-04-20;145,72000122070312
PH;Action;11617;1980-03-17;2026-04-20;994,3900146484376
PINS;Action;1760;2019-04-18;2026-04-20;20,190000534057617
PLD;Action;7144;1997-11-21;2026-04-20;144,1199951171875
PLTR;Action;1394;2020-09-30;2026-04-20;144,5
PM;Action;4552;2008-03-17;2026-04-20;158,3000030517578
PNC;Action;12710;1975-11-17;2026-04-20;226,5
PPG;Action;11617;1980-03-17;2026-04-20;115,23999786376952
PRU;Action;6125;2001-12-13;2026-04-20;102,22000122070312
PSA;Action;11446;1980-11-18;2026-04-20;311,2601013183594
PSX;Action;3525;2012-04-12;2026-04-20;156,75999450683594
PYPL;Action;2714;2015-07-06;2026-04-20;50,665000915527344
QCOM;Action;8647;1991-12-13;2026-04-20;137,5399932861328
QQQ;Action;6820;1999-03-10;2026-04-20;645,219970703125
REGN;Action;8826;1991-04-02;2026-04-20;752,2999877929688
ROST;Action;10252;1985-08-08;2026-04-20;229,7700042724609
RSG;Action;6993;1998-07-01;2026-04-20;208,84500122070312
RTX;Action;16119;1962-04-02;2026-04-20;195,72999572753903
SBAC;Action;6752;1999-06-16;2026-04-20;222,0500030517578
SBUX;Action;8512;1992-06-26;2026-04-20;98,87999725341795
SCHW;Action;9717;1987-09-22;2026-04-20;92,86000061035156
SHOP;Action;2745;2015-05-20;2026-04-20;132,02499389648438
SHW;Action;11617;1980-03-17;2026-04-20;343,6099853515625
SLB;Action;11164;1981-12-31;2026-04-20;52,720001220703125
SLV;Action;5025;2006-04-28;2026-04-20;72,28500366210938
SNAP;Action;2296;2017-03-02;2026-04-20;5,869999885559082
SNOW;Action;1404;2020-09-16;2026-04-20;147,36000061035156
SO;Action;11164;1981-12-31;2026-04-20;94,52999877929688
SPG;Action;8141;1993-12-14;2026-04-20;207,3800048828125
SPOT;Action;2023;2018-04-03;2026-04-20;534,2100219726562
SPY;Action;8362;1993-01-29;2026-04-20;707,8800048828125
SRE;Action;6995;1998-06-29;2026-04-20;93,98999786376952
STLD;Action;7396;1996-11-22;2026-04-20;210,7017974853516
STZ;Action;8583;1992-03-17;2026-04-20;161,64999389648438
SYK;Action;11617;1980-03-17;2026-04-20;341,75
SYY;Action;13350;1973-05-08;2026-04-20;76,63999938964844
TFC;Action;11616;1980-03-18;2026-04-20;50,90499877929688
TGT;Action;13403;1973-02-21;2026-04-20;129,23500061035156
TJX;Action;9777;1987-06-26;2026-04-20;161,28500366210938
TMO;Action;11617;1980-03-17;2026-04-20;526,27001953125
TMUS;Action;4781;2007-04-19;2026-04-20;198,9900054931641
TSLA;Action;3976;2010-06-29;2026-04-20;391,989990234375
TTWO;Action;7299;1997-04-15;2026-04-20;214,0800018310547
TXN;Action;13583;1972-06-01;2026-04-20;231,7400054931641
T;Action;10685;1983-11-21;2026-04-20;26,59000015258789
UBER;Action;1745;2019-05-10;2026-04-20;76,12999725341797
UNH;Action;10456;1984-10-17;2026-04-20;320,260009765625
UNP;Action;11669;1980-01-02;2026-04-20;253,5800018310547
UPS;Action;6649;1999-11-10;2026-04-20;107,19499969482422
USB;Action;13353;1973-05-03;2026-04-20;57,26499938964844
VICI;Action;2085;2018-01-02;2026-04-20;28,8700008392334
VLO;Action;11163;1982-01-04;2026-04-20;227,1999969482422
VMC;Action;13403;1973-02-21;2026-04-20;295,1199951171875
VOO;Action;3926;2010-09-09;2026-04-20;650,8200073242188
VRTX;Action;8747;1991-07-24;2026-04-20;441,1600036621094
VTI;Action;6247;2001-06-15;2026-04-20;349,8297119140625
VZ;Action;10685;1983-11-21;2026-04-20;46,93000030517578
WBD;Action;5228;2005-07-08;2026-04-20;27,53499984741211
WEC;Action;11617;1980-03-17;2026-04-20;116,46499633789062
WELL;Action;11615;1980-03-19;2026-04-20;210,53500366210935
WFC;Action;13583;1972-06-01;2026-04-20;81,55500030517578
WMB;Action;11164;1981-12-31;2026-04-20;71,83999633789062
WMT;Action;13523;1972-08-25;2026-04-20;127,68000030517578
WM;Action;9527;1988-06-22;2026-04-20;225,25
XEL;Action;13403;1973-02-21;2026-04-20;81,47000122070312
XOM;Action;16182;1962-01-02;2026-04-20;148,90499877929688
YUM;Action;7191;1997-09-17;2026-04-20;162,66000366210938
ZTS;Action;3323;2013-02-01;2026-04-20;122,45500183105467
ADA_USD;Indice;3085;2017-11-09;2026-04-20;0,2481999993324279
BNB_USD;Indice;3085;2017-11-09;2026-04-20;627,1199951171875
BTC_USD;Indice;4234;2014-09-17;2026-04-20;75571,5078125
CL_F;Indice;6441;2000-08-23;2026-04-20;87,37000274658203
DOGE_USD;Indice;3085;2017-11-09;2026-04-20;0,0951299965381622
ETH_USD;Indice;3085;2017-11-09;2026-04-20;2315,050048828125
EURUSD_X;Indice;5807;2003-12-01;2026-04-20;1,1789672374725342
GBPUSD_X;Indice;5819;2003-12-01;2026-04-20;1,3537368774414062
GC_F;Indice;6432;2000-08-30;2026-04-20;4816,39990234375
IDX_DJI;Indice;8635;1992-01-02;2026-04-20;49387,4609375
IDX_FCHI;Indice;9176;1990-03-01;2026-04-20;8321,900390625
IDX_FTSE;Indice;10684;1984-01-03;2026-04-20;10588,150390625
IDX_GDAXI;Indice;9684;1987-12-30;2026-04-20;24405,16015625
IDX_GSPC;Indice;24691;1927-12-30;2026-04-20;7103,08984375
IDX_IXIC;Indice;13917;1971-02-05;2026-04-20;24331,462890625
IDX_N225;Indice;15068;1965-01-05;2026-04-20;58824,890625
IDX_RUT;Indice;9725;1987-09-10;2026-04-20;2777,739990234375
SI_F;Indice;6434;2000-08-30;2026-04-20;79,58499908447266
SOL_USD;Indice;2202;2020-04-10;2026-04-20;85,58000183105469
USDCHF_X;Indice;5872;2003-09-17;2026-04-17;0,7832000255584717
USDJPY_X;Indice;7641;1996-10-30;2026-04-20;158,66299438476562
XRP_USD;Indice;3085;2017-11-09;2026-04-20;1,430400013923645
